N_genomes,core,unique,pangenome
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
10,0,2652,32765
